Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
rwsuiToolBeltXL_TextLabel1,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1
rwsuiToolBeltXL_TextLabel2,,,,,2,,2,2,2,2,2,2,2,2,2,2,2,2
rwsuiToolBeltXL_TextLabel3,,,,,3,,3,3,3,3,3,3,3,3,3,3,3,3
rwsuiToolBeltXL_TextLabel4,,,,,4,,4,4,4,4,4,4,4,4,4,4,4,4
rwsuiToolBeltXL_TextLabel5,,,,,5,,5,5,5,5,5,5,5,5,5,5,5,5
rwsuiToolBeltXL_TextLabel6,,,,,6,,6,6,6,6,6,6,6,6,6,6,6,6
rwsuiToolBeltXL_TextLabel7,,,,,7,,7,7,7,7,7,7,7,7,7,7,7,7
rwsuiToolBeltXL_TextLabel8,,,,,8,,8,8,8,8,8,8,8,8,8,8,8,8
rwsuiToolBeltXL_TextLabel9,,,,,9,,9,9,9,9,9,9,9,9,9,9,9,9
rwsuiToolBeltXL_TextLabel10,,,,,10,,10,10,10,10,10,10,10,10,10,10,10,10
rwsuiToolBeltXL_TextLabel11,,,,,11,,11,11,11,11,11,11,11,11,11,11,11,11
rwsuiToolBeltXL_TextLabel12,,,,,12,,12,12,12,12,12,12,12,12,12,12,12,12
rwsuiToolBeltXL_TextLabel13,,,,,13,,13,13,13,13,13,13,13,13,13,13,13,13
rwsuiToolBeltXL_TextLabel14,,,,,14,,14,14,14,14,14,14,14,14,14,14,14,14
rwsuiToolBeltXL_TextLabel15,,,,,15,,15,15,15,15,15,15,15,15,15,15,15,15
rwsuiHUD_Tab,,,,,HUD,,HUD,HUD,HUD,HUD,HUD,HUD,HUD,HUD,HUD,HUD,抬头显示器,抬頭顯示器
